run_id,original_path,terrain_name,terrain_height_cm,contact_timing_bias_s,repeat_idx,startup_valid,late_stabilization,secondary_label,start_z,end_z,delta_z,forward_progress,duration_executed,success,task_completion_success,filter_pass,exclusion_reason
20260412_001500_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001500_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r02,ocs2_stepdown_9cm,9.0,0.09,2,True,False,,0.1684,0.0998,-0.0687,0.0177,22.0021,True,True,False,low_progress
20260412_001535_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001535_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r03,ocs2_stepdown_9cm,9.0,0.09,3,True,False,,0.2801,0.3374,0.0573,3.185,22.0039,True,True,True,
20260412_001610_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001610_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r04,ocs2_stepdown_9cm,9.0,0.09,4,False,False,,0.2799,0.3123,0.0325,0.8435,7.4624,False,False,False,short_duration
20260412_001630_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001630_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r05,ocs2_stepdown_9cm,9.0,0.09,5,True,False,,0.2774,0.3378,0.0605,3.3753,22.0034,True,True,True,
20260412_001705_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001705_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r06,ocs2_stepdown_9cm,9.0,0.09,6,True,False,,0.2814,0.1863,-0.095,0.861,10.4412,False,False,True,
20260412_001729_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001729_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r07,ocs2_stepdown_9cm,9.0,0.09,7,True,False,,0.2785,0.335,0.0566,2.89,22.0033,True,True,True,
20260412_001804_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001804_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r08,ocs2_stepdown_9cm,9.0,0.09,8,True,False,,0.2808,0.3379,0.0571,3.3352,22.0025,True,True,True,
20260412_001839_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001839_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r09,ocs2_stepdown_9cm,9.0,0.09,9,True,False,,0.2798,0.3365,0.0567,3.1389,22.0049,True,True,True,
20260412_001914_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001914_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r10,ocs2_stepdown_9cm,9.0,0.09,10,True,False,,0.2797,0.3356,0.0559,2.5144,22.0017,True,True,True,
20260412_001949_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001949_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r01,ocs2_stepdown_9cm,9.0,0.1,1,True,False,,0.2711,0.3376,0.0666,3.3282,22.0042,True,True,True,
