run_id,original_path,exclusion_reason,secondary_label,detail
20260410_235817_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235817_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r07,short_duration,,duration_executed=6.0607
20260410_235836_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235836_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r08,short_duration,,duration_executed=4.9806
20260410_235854_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235854_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r09,short_duration,,duration_executed=7.6809
20260410_235913_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235913_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r10,short_duration,,duration_executed=4.6205
20260411_004224_ocs2_stepdown_1cm_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_004224_ocs2_stepdown_1cm_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_r06,low_progress,,low_progress:0.0273
20260411_004409_ocs2_stepdown_1cm_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_004409_ocs2_stepdown_1cm_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_r09,low_progress,,low_progress:0.0265
20260411_005330_ocs2_stepdown_1cm_ctp007_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp007_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_005330_ocs2_stepdown_1cm_ctp007_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp007_r05,short_duration,,duration_executed=4.0206
20260411_010049_ocs2_stepdown_1cm_ctp008_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp008_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_010049_ocs2_stepdown_1cm_ctp008_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp008_r08,low_progress,,low_progress:0.0260
20260411_011107_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011107_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r06,short_duration,,duration_executed=7.0209
20260411_011127_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011127_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r07,low_progress,,low_progress:0.0280
