terrain_height_cm,contact_timing_bias_s,n_runs,n_runs_total,n_runs_excluded,success_rate,stable_rate,unstable_rate,fail_rate,outcome_majority,startup_valid_rate,late_stabilization_rate,end_only_stabilized_count,end_only_stabilized_rate_total,end_only_stabilized_rate_excluded,forward_progress_mean,forward_progress_std,lateral_progress_mean,lateral_progress_std,roll_rms_mean,roll_rms_std,pitch_rms_mean,pitch_rms_std,yaw_rms_mean,yaw_rms_std,yaw_change_deg_mean,yaw_change_deg_std,duration_mean,duration_std,time_to_failure_mean,time_to_failure_std,min_base_z_mean,min_base_z_std,base_z_std_mean,base_z_std_std,startup_gait_body_frame_forward_progress_mean,startup_gait_body_frame_forward_progress_std,distance_xy_mean,distance_xy_std,mean_forward_velocity_mean,mean_forward_velocity_std,start_z_mean,start_z_std,end_z_mean,end_z_std,delta_z_mean,delta_z_std,obs_state_norm_mean,opt_state_norm_mean,obs_input_norm_mean,opt_input_norm_mean,obs_contact_mean_fl,obs_contact_mean_fr,obs_contact_mean_rl,obs_contact_mean_rr,plan_contact_mean_fl,plan_contact_mean_fr,plan_contact_mean_rl,plan_contact_mean_rr,planned_mode_mode,obs_mode_mode
5.0,0.09,10,11,1,0.9,0.9,0.0,0.1,stable,1.0,0.0,0,0.0,0.0,2.9073,0.5803,0.6535,0.64,2.7346,1.7708,4.021,1.5717,9.7297,12.6296,5.9642,18.8453,20.88,3.3663,10.7632,0.0,0.1168,0.0004,0.0321,0.0086,-0.033,0.0045,3.042,0.6099,0.145,0.0137,0.2258,0.1126,0.2973,0.0903,0.0715,0.0432,4.1413,4.1452,126.5209,126.5353,0.0,0.0,0.0,0.0,0.6376,0.6366,0.6366,0.6376,9,0
5.0,0.1,10,12,2,0.7,0.6,0.1,0.3,stable,1.0,0.0,0,0.0,0.0,2.8455,0.9903,0.5244,0.7733,6.0827,5.021,5.684,1.7781,12.4327,16.1744,10.8052,23.5036,18.7558,5.0109,11.175,1.3151,0.1158,0.0029,0.047,0.0184,-0.0394,0.0049,3.0123,0.9364,0.1584,0.0183,0.2252,0.1127,0.2964,0.1357,0.0712,0.1743,4.2838,4.2884,145.9604,145.9867,0.0,0.0,0.0,0.0,0.637,0.6332,0.6332,0.637,6,0
5.0,0.12,3,12,9,0.0,0.0,0.0,1.0,fail,1.0,0.0,0,0.0,0.0,0.7767,0.3454,0.7574,0.4737,10.3646,2.9846,9.3128,1.0678,15.1004,7.0933,17.1951,52.4387,11.0209,0.7778,11.0131,0.7752,0.1166,0.0,0.067,0.011,-0.068,0.0016,1.2298,0.0912,0.1116,0.0018,0.282,0.0004,0.2002,0.0534,-0.0818,0.053,4.0639,4.0697,181.5741,181.6294,0.0,0.0,0.0,0.0,0.6333,0.624,0.624,0.6333,9,0
5.0,0.15,1,11,10,0.0,0.0,0.0,1.0,fail,1.0,0.0,0,0.0,0.0,0.7181,0.0,-0.4033,0.0,12.2253,0.0,7.5989,0.0,6.4797,0.0,14.8104,0.0,8.1006,0.0,8.0878,0.0,0.1166,0.0,0.062,0.0,-0.1301,0.0,0.8236,0.0,0.1017,0.0,0.0006,0.0,0.2502,0.0,0.2495,0.0,4.0802,4.0834,153.9497,154.0486,0.0,0.0,0.0,0.0,0.6987,0.657,0.657,0.6987,15,0
5.0,1.0,0,2,2,,,,,none,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,0,1,1,,,,,none,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0.0,8,10,2,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,1.4651,0.0628,0.0016,0.0551,0.7626,0.0896,1.0475,0.15,2.152,0.4773,0.8884,3.2681,22.0048,0.0014,,,0.1412,0.065,0.0259,0.0088,-0.0078,0.004,1.4661,0.0631,0.0666,0.0029,0.2056,0.1185,0.2756,0.1224,0.07,0.0096,3.5086,3.51,99.8733,99.8807,0.0,0.0,0.0,0.0,0.6353,0.6352,0.6352,0.6353,9,0
7.0,0.05,7,10,3,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,2.2071,0.0436,0.0407,0.0567,0.9723,0.0505,1.332,0.0585,1.1126,0.3983,0.75,1.2602,22.0032,0.0009,,,0.1967,0.0926,0.0195,0.0076,-0.0174,0.0025,2.2082,0.0435,0.1004,0.002,0.1991,0.1256,0.2656,0.1273,0.0665,0.0154,3.7075,3.7103,104.1389,104.1459,0.0,0.0,0.0,0.0,0.6383,0.6379,0.6379,0.6383,9,0
7.0,0.07,10,10,0,0.7,0.6,0.1,0.3,stable,1.0,0.0,0,0.0,,2.3195,0.8243,0.1344,0.2586,2.2706,1.3123,3.3785,1.2553,2.8026,3.2823,2.6421,5.4047,18.0689,6.011,8.8742,0.1778,0.1586,0.0654,0.0264,0.0096,-0.0255,0.0028,2.335,0.832,0.1281,0.0087,0.222,0.1111,0.3172,0.0404,0.0952,0.0757,3.9192,3.9237,112.9004,112.9087,0.0,0.0,0.0,0.0,0.6482,0.6416,0.6416,0.6482,9,0
7.0,0.08,8,10,2,0.75,0.625,0.125,0.25,stable,1.0,0.0,0,0.0,0.0,2.3983,0.6629,0.0108,0.8687,3.688,3.473,4.2018,2.0292,16.9956,25.2864,10.2091,40.2223,18.8733,5.4404,9.4718,0.8754,0.1303,0.0505,0.0369,0.0186,-0.0287,0.0061,2.5249,0.7555,0.1345,0.0147,0.2421,0.091,0.3652,0.0654,0.1231,0.156,4.0028,4.0091,122.2229,122.2465,0.0,0.0,0.0,0.0,0.645,0.6382,0.6382,0.645,9,0
