terrain_height_cm,contact_timing_bias_s,n_runs,n_runs_total,n_runs_excluded,outcome_majority,success_rate,stable_rate,unstable_rate,fail_rate,startup_valid_rate,late_stabilization_rate,end_only_stabilized_count,end_only_stabilized_rate_total,end_only_stabilized_rate_excluded,forward_progress_mean,forward_progress_std,lateral_progress_mean,lateral_progress_std,roll_rms_mean,roll_rms_std,pitch_rms_mean,pitch_rms_std,yaw_rms_mean,yaw_rms_std,duration_mean,duration_std,time_to_failure_mean,time_to_failure_std,min_base_z_mean,min_base_z_std,start_z_mean,end_z_mean,delta_z_mean,obs_state_norm_mean,opt_state_norm_mean,obs_input_norm_mean,opt_input_norm_mean,planned_mode_mode,obs_mode_mode
7.0,0.08,8,10,2,stable,0.75,0.625,0.125,0.25,1.0,0.0,0,0.0,0.0,2.3983,0.6629,0.0108,0.8687,3.688,3.473,4.2018,2.0292,16.9956,25.2864,18.8733,5.4404,9.4718,0.8754,0.1303,0.0505,0.2421,0.3652,0.1231,4.0028,4.0091,122.2229,122.2465,9,0
7.0,0.09,8,10,2,stable,0.75,0.75,0.0,0.25,1.0,0.0,0,0.0,0.0,2.6461,0.8871,0.1407,0.8782,2.0814,0.1208,3.7049,0.1647,4.3706,2.6765,18.5533,5.9767,8.1819,0.0206,0.1502,0.0582,0.2438,0.3125,0.0687,4.0631,4.0686,121.5579,121.569,6,0
7.0,0.1,6,10,4,stable,0.6667,0.6667,0.0,0.3333,1.0,0.0,0,0.0,0.0,2.5961,0.7788,0.3734,0.3973,4.8924,4.3975,5.8481,2.4795,7.546,6.6221,18.0127,5.7567,10.0179,1.9646,0.1107,0.0132,0.2312,0.2476,0.0164,4.0935,4.0998,138.9081,138.9323,9,0
7.0,0.12,8,10,2,fail,0.375,0.0,0.375,0.625,1.0,0.0,0,0.0,0.0,2.1821,0.8541,-0.2866,1.4871,9.5441,3.1182,7.8495,1.401,11.7494,8.6501,16.6173,4.8778,13.3733,3.1984,0.1057,0.0109,0.2426,0.1883,-0.0543,4.2108,4.2174,177.0808,177.1501,9,0
7.0,0.15,0,10,10,none,,,,,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,10,10,0,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,,1.5396,0.0238,0.0246,0.0786,0.9244,0.0468,0.8904,0.0649,1.9559,0.6897,22.0037,0.0014,,,0.196,0.0972,0.1959,0.2713,0.0755,3.4476,3.4492,100.1121,100.119,6,0
9.0,0.05,9,10,1,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2.2059,0.0882,0.1486,0.1431,1.0829,0.052,1.4982,0.1962,2.9608,1.8236,22.003,0.001,,,0.1347,0.0511,0.0925,0.203,0.1105,3.6299,3.6331,105.1036,105.1106,9,0
9.0,0.07,9,10,1,stable,0.6667,0.6667,0.0,0.3333,1.0,0.0,0,0.0,0.0,2.2549,0.8737,0.0687,0.3973,1.9707,0.325,3.076,0.458,3.5377,2.4799,17.5911,6.2396,8.7602,0.1714,0.1651,0.0683,0.2155,0.301,0.0855,3.86,3.865,113.3036,113.3139,9,0
9.0,0.08,9,10,1,stable,0.8889,0.7778,0.1111,0.1111,1.0,0.0,0,0.0,0.0,2.8239,0.6566,0.245,0.9527,2.4886,1.0517,4.1035,0.9427,8.6579,9.8668,20.4759,4.3187,8.2546,0.0,0.1297,0.048,0.2465,0.3193,0.0728,3.987,3.9924,119.8606,119.8693,9,0
9.0,0.09,8,10,2,stable,0.875,0.875,0.0,0.125,1.0,0.0,0,0.0,0.0,2.8152,0.7831,0.0313,0.9317,3.0598,2.3337,4.6446,2.0193,6.446,10.5003,20.5582,3.8239,10.4401,0.0,0.1106,0.0114,0.2795,0.3177,0.0382,4.0374,4.044,129.8562,129.8737,6,0
9.0,0.1,5,10,5,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,3.1858,0.095,0.1628,0.3527,2.3474,0.2045,4.3828,0.4119,3.4635,1.3017,22.0029,0.0008,,,0.1166,0.0,0.2779,0.3379,0.06,4.057,4.0628,132.0995,132.1066,9,0
9.0,0.12,1,10,9,fail,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.6094,0.0,0.0425,0.0,18.8665,0.0,9.1119,0.0,33.5598,0.0,9.281,0.0,9.2732,0.0,0.0808,0.0,0.2795,0.1101,-0.1693,4.2653,4.277,201.7949,201.8585,9,0
9.0,0.15,0,10,10,none,,,,,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
