time_sec,swing_phase,nominal_spline_z_m,nominal_spline_vz_mps,perceptive_spline_z_m,perceptive_spline_vz_mps,planned_foot_x_m,planned_foot_y_m,planned_foot_z_m,measured_foot_x_m,measured_foot_y_m,measured_foot_z_m,physical_terrain_height_m,perceived_terrain_height_m
10.806000000,0.416000000,0.274131666,0.524173440,0.274131666,0.524173440,0.638756180,0.145022658,0.276437233,0.625334737,0.156693797,0.250960716,0.100000000,0.130000000
10.808000000,0.424000000,0.275139380,0.483226240,0.275139380,0.483226240,0.639955146,0.145001751,0.275512029,0.627164140,0.156604501,0.249677246,0.100000000,0.130000000
10.810000000,0.432000000,0.276063311,0.440389760,0.276063311,0.440389760,0.641156266,0.144980701,0.274590209,0.628413932,0.156703560,0.247385092,0.100000000,0.130000000
10.812000000,0.440000000,0.276899680,0.395664000,0.276899680,0.395664000,0.642364133,0.144959526,0.273673778,0.629403142,0.156663107,0.246199750,0.100000000,0.130000000
10.814000000,0.448000000,0.277644708,0.349048960,0.277644708,0.349048960,0.643574382,0.144938214,0.272759786,0.630378932,0.156601218,0.245016580,0.100000000,0.130000000
10.816000000,0.456000000,0.278294616,0.300544640,0.278294616,0.300544640,0.644789795,0.144916761,0.271851217,0.631176932,0.156557218,0.244976580,0.100000000,0.130000000
10.818000000,0.464000000,0.278845627,0.250151040,0.278845627,0.250151040,0.646009807,0.144895225,0.270945160,0.631468492,0.156477045,0.242615110,0.100000000,0.130000000
10.820000000,0.472000000,0.279293961,0.197868160,0.279293961,0.197868160,0.647234246,0.144873481,0.270043739,0.632380186,0.156373736,0.241349741,0.100000000,0.130000000
10.822000000,0.480000000,0.279635840,0.143696000,0.279635840,0.143696000,0.648461674,0.144851637,0.269145494,0.634002186,0.156359036,0.241327741,0.100000000,0.130000000
10.824000000,0.488000000,0.279867485,0.087634560,0.279867485,0.087634560,0.638546185,0.154581408,0.243527807,0.634916468,0.156267800,0.240075392,0.100000000,0.130000000
10.826000000,0.496000000,0.279985119,0.029683840,0.279985119,0.029683840,0.639922623,0.154322827,0.242772515,0.635005597,0.156129775,0.238816204,0.100000000,0.130000000
10.828000000,0.504000000,0.279985516,-0.028893440,0.279972147,-0.055558400,0.641304217,0.154063448,0.242021387,0.636911071,0.155728262,0.236471270,0.100000000,0.130000000
10.830000000,0.512000000,0.279870999,-0.085320960,0.279751974,-0.164025600,0.642689887,0.153803309,0.241273519,0.637155075,0.155297127,0.235489880,0.100000000,0.130000000
10.832000000,0.520000000,0.279645440,-0.139936000,0.279318400,-0.268960000,0.644078767,0.153541959,0.240527937,0.637979075,0.155352127,0.235500880,0.100000000,0.130000000
10.834000000,0.528000000,0.279312463,-0.192738560,0.278678490,-0.370361600,0.645471887,0.153280022,0.239787408,0.639076878,0.154939768,0.234531886,0.100000000,0.130000000
10.836000000,0.536000000,0.278875694,-0.243728640,0.277839309,-0.468230400,0.646869162,0.153017223,0.239049389,0.641242848,0.154227277,0.232278923,0.100000000,0.130000000
10.838000000,0.544000000,0.278338757,-0.292906240,0.276807923,-0.562566400,0.648272068,0.152753181,0.238317694,0.642324296,0.153878258,0.231053349,0.100000000,0.130000000
10.840000000,0.552000000,0.277705277,-0.340271360,0.275591398,-0.653369600,0.649685814,0.152454864,0.237632232,0.643443455,0.153475721,0.229881678,0.100000000,0.130000000
10.842000000,0.560000000,0.276978880,-0.385824000,0.274196800,-0.740640000,0.651103289,0.152155445,0.236951050,0.644260455,0.153635721,0.229916678,0.100000000,0.130000000
10.844000000,0.568000000,0.276163190,-0.429564160,0.272631194,-0.824377600,0.652525137,0.151854728,0.236273966,0.644968479,0.152340110,0.227703178,0.100000000,0.130000000
10.846000000,0.576000000,0.275261832,-0.471491840,0.270901645,-0.904582400,0.653951050,0.151552788,0.235599811,0.646154047,0.151849337,0.226619788,0.100000000,0.130000000
10.848000000,0.584000000,0.274278431,-0.511607040,0.269015219,-0.981254400,0.655381615,0.151249668,0.234931000,0.648149236,0.151565762,0.225493617,0.100000000,0.130000000
10.850000000,0.592000000,0.273216612,-0.549909760,0.266978982,-1.054393600,0.656817500,0.150945065,0.234266005,0.648962236,0.151738562,0.225497617,0.100000000,0.130000000
10.852000000,0.600000000,0.272080000,-0.586400000,0.264800000,-1.124000000,0.658256704,0.150639579,0.233605567,0.650155729,0.151333562,0.224322345,0.100000000,0.130000000
10.854000000,0.608000000,0.270872220,-0.621077760,0.262485338,-1.190073600,0.659698769,0.150333009,0.232947772,0.651387682,0.150942249,0.223187462,0.100000000,0.130000000
10.856000000,0.616000000,0.269596897,-0.653943040,0.260042061,-1.252614400,0.661146222,0.150025153,0.232295592,0.653155415,0.149964979,0.221130532,0.100000000,0.130000000
10.858000000,0.624000000,0.268257656,-0.684995840,0.257477235,-1.311622400,0.662599246,0.149716175,0.231647896,0.653662098,0.149399919,0.220151073,0.100000000,0.130000000
10.860000000,0.632000000,0.266858122,-0.714236160,0.254797926,-1.367097600,0.664041999,0.149376793,0.231015467,0.654480098,0.149583119,0.220117073,0.100000000,0.130000000
10.862000000,0.640000000,0.265401920,-0.741664000,0.252011200,-1.419040000,0.665489787,0.149036047,0.230387501,0.656628166,0.149415503,0.219019277,0.100000000,0.130000000
10.864000000,0.648000000,0.263892675,-0.767279360,0.249124122,-1.467449600,0.666939737,0.148693832,0.229761443,0.657961001,0.149084290,0.217925627,0.100000000,0.130000000
10.866000000,0.656000000,0.262334011,-0.791082240,0.246143757,-1.512326400,0.668396374,0.148350155,0.229142504,0.659833062,0.148363993,0.215897355,0.100000000,0.130000000
10.868000000,0.664000000,0.260729554,-0.813072640,0.243077171,-1.553670400,0.669856265,0.148005349,0.228528276,0.661202958,0.148120888,0.214883071,0.100000000,0.130000000
10.870000000,0.672000000,0.259082929,-0.833250560,0.239931430,-1.591481600,0.671319965,0.147658916,0.227917050,0.662043958,0.148273888,0.214735071,0.100000000,0.130000000
10.872000000,0.680000000,0.257397760,-0.851616000,0.236713600,-1.625760000,0.672788247,0.147311071,0.227311827,0.663055438,0.147601571,0.212962115,0.100000000,0.130000000
10.874000000,0.688000000,0.255677673,-0.868168960,0.233430746,-1.656505600,0.674261719,0.146961801,0.226711215,0.665217730,0.147595151,0.211684505,0.100000000,0.130000000
10.876000000,0.696000000,0.253926292,-0.882909440,0.230089933,-1.683718400,0.675736632,0.146611345,0.226113652,0.666519162,0.147462264,0.210555399,0.100000000,0.130000000
10.878000000,0.704000000,0.252147244,-0.895837440,0.226698227,-1.707398400,0.677218382,0.146259380,0.225522367,0.666519162,0.147462264,0.210555399,0.100000000,0.130000000
10.880000000,0.712000000,0.250344151,-0.906952960,0.223262694,-1.727545600,0.678682723,0.145871842,0.224916505,0.669137933,0.147148033,0.208311907,0.100000000,0.130000000
10.882000000,0.720000000,0.248520640,-0.916256000,0.219790400,-1.744160000,0.680153934,0.145482304,0.224317921,0.670451402,0.146996429,0.207188214,0.100000000,0.130000000
10.884000000,0.728000000,0.246680335,-0.923746560,0.216288410,-1.757241600,0.681627864,0.145091162,0.223722808,0.670893663,0.146707569,0.206301562,0.100000000,0.130000000
